Lot No,Description,Shape,Size,Pcs,Wt (cts),Color,Clarity,Certificate,Video,Cut,POL,SYM,FL,M1,M2,M3,TAB,DEP,Rap ($),Dis,Total,Price,Name,Average weight
200736,,Lab Grown Oval 4.9 *,,4,1.05,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200737,,Lab Grown Oval 4.9 *,,4,1.16,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008,,Lab Grown Oval 5.0,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008 3.2,,Lab Grown Oval 5.0 x,,1,0.23,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008 3.5,,Lab Grown Oval 5.0 x,,1,0.25,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008 3.6,,Lab Grown Oval 5.0 x,,3,0.88,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008 3.7,,Lab Grown Oval 5.0 x,,4,1.21,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2008 3.8 ,,Lab Grown Oval 5.0 x,,6,1.85,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2009,,Lab Grown Oval 5.1,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200934,,Lab Grown Oval 5.1 x,,1,0.28,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200935,,Lab Grown Oval 5.1 x,,1,0.25,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200937,,Lab Grown Oval 5.1 x,,3,0.92,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200938,,Lab Grown Oval 5.1 x,,5,1.45,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
200939,,Lab Grown Oval 5.1 x,,2,0.71,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
2010,,Lab Grown Oval 5.2,,0,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201033,,Lab Grown Oval 5.2 x,,1,0.23,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201034,,Lab Grown Oval 5.2 x,,1,0.27,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201035,,Lab Grown Oval 5.2 x,,3,0.87,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
201037,,Lab Grown Oval 5.2 x,,3,0.86,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0
